Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,Range
201301158041,8,otc alterations permit,01/15/2013,3573,003,3180,,18th,St,,,"suite 102. demolition of non-load bearing partitions, doors & lights, restrooms per ab-017 remains vacant.",withdrawn,11/27/2013,01/15/2013,,,,,3.0,3.0,,,,4500.0,0.0,office,0.0,office,0.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.76238520483805, -122.41459406159578)",1293400290821.0,22
201301158042,3,additions alterations or repairs,01/15/2013,2697,027,249,,Diamond,St,,,"add rear yard decks @ 2nd,3rd & 4th floor. replace (2) windows @ rear elevation with sliding door @ 2nd, 3rd,# 4th floors.",complete,09/18/2014,01/15/2013,05/17/2013,09/18/2014,03/24/2014,Y,3.0,3.0,,,05/12/2014,42000.0,42000.0,apartments,3.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,8.0,Castro/Upper Market,94114.0,"(37.758380436339024, -122.43663644232495)",1293401245890.0,92
201301158042,3,additions alterations or repairs,01/15/2013,2697,027,251,,Diamond,St,,,"add rear yard decks @ 2nd,3rd & 4th floor. replace (2) windows @ rear elevation with sliding door @ 2nd, 3rd,# 4th floors.",complete,09/18/2014,01/15/2013,05/17/2013,09/18/2014,03/24/2014,Y,3.0,3.0,,,05/12/2014,42000.0,42000.0,apartments,3.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,8.0,Castro/Upper Market,94114.0,"(37.758380436339024, -122.43663644232495)",1293402260935.0,65
201301158044,8,otc alterations permit,01/15/2013,0940,029,2828,,Greenwich,St,,,"unit #2-sound proofinf & drywall in kitchen, 1 bedroom. add 4 led cans in bedroom & 6 led cans in kitchen",issued,01/15/2013,01/15/2013,01/15/2013,,01/15/2013,,3.0,3.0,,,01/10/2014,24000.0,24000.0,apartments,8.0,apartments,8.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Marina,94123.0,"(37.79790114521417, -122.44637813901588)",129340384799.0,85
201301158042,3,additions alterations or repairs,01/15/2013,2697,027,253,,Diamond,St,,,"add rear yard decks @ 2nd,3rd & 4th floor. replace (2) windows @ rear elevation with sliding door @ 2nd, 3rd,# 4th floors.",complete,09/18/2014,01/15/2013,05/17/2013,09/18/2014,03/24/2014,Y,3.0,3.0,,,05/12/2014,42000.0,42000.0,apartments,3.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,8.0,Castro/Upper Market,94114.0,"(37.758380436339024, -122.43663644232495)",1293404260936.0,66
201301158045,8,otc alterations permit,01/15/2013,0519,058,3024,,Laguna,St,0.0,,"revision to 201301027108. change 1/2 bath to full bath at 2nd fl, add new window",complete,03/14/2013,01/15/2013,01/15/2013,03/14/2013,01/15/2013,,3.0,3.0,,,01/10/2014,11000.0,1.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Marina,94123.0,"(37.79926947299598, -122.43059968576937)",1293405447300.0,32
201301158043,8,otc alterations permit,01/15/2013,1808,001,4001,,Judah,St,,,fabricate and install 1 triangle awning.,complete,03/27/2013,01/15/2013,01/17/2013,03/27/2013,01/17/2013,,1.0,1.0,,,01/12/2014,3700.0,3700.0,food/beverage hndlng,0.0,food/beverage hndlng,0.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94122.0,"(37.76025200915792, -122.50501898339044)",1293406115133.0,50
201301158046,8,otc alterations permit,01/15/2013,6502,003,410,,Hoffman,Av,,,remove rotted top railings & other rotted parts of railings from front stairs & replace w/ new wood. replace rotten siding w/ new siding.,complete,02/19/2013,01/15/2013,01/15/2013,02/19/2013,01/15/2013,,2.0,2.0,,,01/10/2014,4000.0,4000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94114.0,"(37.75046199519314, -122.44085156207863)",1293407205296.0,70
201301158047,8,otc alterations permit,01/15/2013,2659,007,56,,Danvers,St,,,"proposed interior work, kitchen & bathroom remodeling w/structural upgrades to accomodate new roof deck & interior modifications as per plan. all work to be dorn within (e) boundry of building.",complete,09/30/2013,01/15/2013,02/06/2013,09/30/2013,02/06/2013,,3.0,3.0,,,01/22/2016,160000.0,160000.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.760630556404294, -122.4438018732918)",1293408141169.0,35
201301158047,8,otc alterations permit,01/15/2013,2659,007,58,,Danvers,St,,,"proposed interior work, kitchen & bathroom remodeling w/structural upgrades to accomodate new roof deck & interior modifications as per plan. all work to be dorn within (e) boundry of building.",complete,09/30/2013,01/15/2013,02/06/2013,09/30/2013,02/06/2013,,3.0,3.0,,,01/22/2016,160000.0,160000.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.760630556404294, -122.4438018732918)",1293409424154.0,23
201301158049,8,otc alterations permit,01/15/2013,2061,018,1883,,24th,Av,,,"work to comply with item #6a in fox structural & termite report #14018 dated 6/19/12. remove stucco to expose damaged wood, replace damaged wood with new pressure-treated material at second floor balcony, approx. 4 ft x 12 ft area, finish to match existing.",complete,02/04/2013,01/15/2013,01/15/2013,02/04/2013,01/15/2013,,2.0,2.0,,,01/10/2014,3900.0,3900.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94122.0,"(37.752477888227254, -122.48199252779759)",1293410123973.0,82
201301158048,8,otc alterations permit,01/15/2013,3751,157,360,,03rd,St,,,"6th floor - install new speaker & strobe 35 in open office area, conference room & break room. (7 new strobe) (1 sd & power supply) t.i. pa #2012.12.05.5512.",complete,04/26/2013,01/15/2013,01/17/2013,04/26/2013,01/17/2013,,7.0,7.0,,Y,01/12/2014,7000.0,7000.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,South of Market,94107.0,"(37.782701643645574, -122.3983287790941)",1293411488748.0,89
M366587,8,otc alterations permit,01/15/2013,0814,020,100,,Van Ness,Av,,,street space,issued,01/15/2013,01/15/2013,01/15/2013,,01/15/2013,,,,,,,,1.0,,,,,,,,,,,,6.0,Tenderloin,94102.0,"(37.77672111209207, -122.41917732402358)",129341282089.0,79
201301158050,8,otc alterations permit,01/15/2013,1568,012,2418,,Balboa,St,,,"remove (e) stair at 2nd fl per plan. remodel  bath rm & change (e) closet to a bathroom at 2nd fl. add 2 (n) bathrooms, (n) storage, (n) laundry & 2 bedrooms at ground floor. & repair (e) slab.",complete,02/03/2015,01/15/2013,01/28/2013,02/03/2015,01/28/2013,,2.0,2.0,,,01/23/2014,60000.0,80000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94121.0,"(37.776562204080314, -122.48494622796639)",1293413104834.0,27
201301158051,8,otc alterations permit,01/15/2013,3767,116,201,,Harrison,St,410.0,,"remodel of kitkchen & bathroom, removal & replacement of existing cabinets,updating electricla per city code, new appliances,sink disposal granite countertops no structural changes,add 4 led high effeciency recessed lights new vanity in bathroom. new floor replace in kind no window or doors/unit 410",complete,05/03/2013,01/15/2013,01/16/2013,05/03/2013,01/16/2013,,10.0,10.0,,,01/11/2014,14000.0,18276.77,apartments,288.0,apartments,288.0,0.0,,2.0,constr type 2,2.0,constr type 2,,6.0,Financial District/South Beach,94105.0,"(37.78758844118285, -122.39047271221516)",1293414166908.0,85
201301158052,8,otc alterations permit,01/15/2013,0167,063,160,,Pacific,Av,,,mechanical only for app#201212115906,issued,01/16/2013,01/15/2013,01/16/2013,,01/16/2013,,4.0,4.0,,,01/11/2014,1500.0,1500.0,office,53.0,office,53.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94111.0,"(37.79825337200927, -122.39917213344498)",1293415376258.0,1
M366607,8,otc alterations permit,01/15/2013,1252,047,708,,Cole,St,,,street space permit renew,issued,01/15/2013,01/15/2013,01/15/2013,,01/15/2013,,,,,,,,1.0,,,,,,,,,,,,5.0,Haight Ashbury,94117.0,"(37.768409760292236, -122.45019799326093)",129341693847.0,9
M366608,8,otc alterations permit,01/15/2013,6554,006,4122,,26th,St,,,street space permit,issued,01/15/2013,01/15/2013,01/15/2013,,01/15/2013,,,,,,,,1.0,,,,,,,,,,,,8.0,Noe Valley,94114.0,"(37.7484359250002, -122.43218144861675)",1293417207350.0,81
M366608,8,otc alterations permit,01/15/2013,6554,006,4124,,26th,St,,,street space permit,issued,01/15/2013,01/15/2013,01/15/2013,,01/15/2013,,,,,,,,1.0,,,,,,,,,,,,8.0,Noe Valley,94114.0,"(37.7484359250002, -122.43218144861675)",1293418387170.0,11
M366627,8,otc alterations permit,01/15/2013,1217,029,360,,Divisadero,St,,,street space permit w/mta,issued,01/15/2013,01/15/2013,01/15/2013,,01/15/2013,,,,,,,,1.0,,,,,,,,,,,,5.0,Haight Ashbury,94117.0,"(37.77304890306759, -122.4370732114852)",129341992706.0,64
201301158053,8,otc alterations permit,01/15/2013,0824,001G,1030,,Fell,St,0.0,,reroofing,complete,01/18/2013,01/15/2013,01/15/2013,01/18/2013,01/15/2013,,3.0,3.0,,,01/10/2014,7500.0,7500.0,apartments,6.0,apartments,6.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Hayes Valley,94117.0,"(37.77469283468064, -122.43489627175302)",1293420403385.0,67
201301158054,8,otc alterations permit,01/15/2013,0708,013A,1560,,Fillmore,St,,,soft demo of an existing full service restaurant to demolish non-bearing wall. remove existing bar counter per ab-017,complete,09/30/2013,01/15/2013,01/17/2013,09/30/2013,01/17/2013,,5.0,5.0,,,01/12/2014,10000.0,10000.0,food/beverage hndlng,48.0,food/beverage hndlng,48.0,2.0,,3.0,constr type 3,3.0,constr type 3,,5.0,Western Addition,94115.0,"(37.784063116547316, -122.43256637989737)",1293421365627.0,61
201301158055,8,otc alterations permit,01/15/2013,6967,026,12,,Junior,Tr,0.0,,add second bath at 1st floor. add partition at upstair bedroom. relocate bathroom at ground floor. 70 sq ft addition at garage.,complete,05/21/2013,01/15/2013,01/16/2013,05/21/2013,01/16/2013,,1.0,1.0,,,01/11/2014,15000.0,30000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,11.0,Outer Mission,94112.0,"(37.71949244420997, -122.44137321066292)",1293422483277.0,54
201301158057,8,otc alterations permit,01/15/2013,5709,019,32,,Ellert,St,,,reuision to 201205150477. clarification requested by inspector for,filed,01/15/2013,01/15/2013,,,,,2.0,2.0,,,,1.0,0.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.73829441270458, -122.41856772561752)",1293423187416.0,36
M366647,8,otc alterations permit,01/15/2013,2618,030,445,,Roosevelt,Wy,,,street space,issued,01/15/2013,01/15/2013,01/15/2013,,01/15/2013,,,,,,,,1.0,,,,,,,,,,,,8.0,Castro/Upper Market,94114.0,"(37.7639790261224, -122.44263574256856)",1293424139591.0,84
201301158058,8,otc alterations permit,01/15/2013,3651,021,3838,,24th,St,,,"#3838- correct nov# 201281331, demolish 2 walls and build 1 new wall; relocate door to the other side, remove one urinal, relocate 2nd urinal, relocate sink, all work will be done in (e) toilet room.",complete,06/21/2013,01/15/2013,01/17/2013,06/21/2013,01/17/2013,,3.0,3.0,,,01/12/2014,2500.0,2500.0,food/beverage hndlng,2.0,food/beverage hndlng,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94114.0,"(37.751832368384065, -122.42832771194217)",1293425164030.0,19
201301158058,8,otc alterations permit,01/15/2013,3651,021,3842,,24th,St,,,"#3838- correct nov# 201281331, demolish 2 walls and build 1 new wall; relocate door to the other side, remove one urinal, relocate 2nd urinal, relocate sink, all work will be done in (e) toilet room.",complete,06/21/2013,01/15/2013,01/17/2013,06/21/2013,01/17/2013,,3.0,3.0,,,01/12/2014,2500.0,2500.0,food/beverage hndlng,2.0,food/beverage hndlng,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94114.0,"(37.751832368384065, -122.42832771194217)",1293426365205.0,69
201301158059,8,otc alterations permit,01/15/2013,3722,058,142,,Minna,St,,,revision to app#201212075695. remove sliding doors in 2nd floor office. remove kitchenette counter.remove main door at top of stairway. widen entrance on 1st level.,complete,04/24/2013,01/15/2013,01/25/2013,04/24/2013,01/25/2013,,2.0,2.0,,,01/20/2014,1000.0,1000.0,office,0.0,office,0.0,2.0,,2.0,constr type 2,2.0,constr type 2,,6.0,Financial District/South Beach,94105.0,"(37.786823293440875, -122.4004906043887)",1293427164743.0,84
201301158060,8,otc alterations permit,01/15/2013,1818,012A,1467,,35th,Av,,,"add new bedroom, new recreation room, new family room, new bath at ground floor",complete,11/26/2013,01/15/2013,03/12/2013,11/26/2013,03/12/2013,,2.0,2.0,,,03/07/2014,30000.0,55000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94122.0,"(37.759690443379334, -122.49436532924855)",1293428115632.0,62
201301158061,8,otc alterations permit,01/15/2013,0592,013,1945,,Pacific,Av,,,replace 9 aluminum windows on the west side of the building 93 floors). windows will be the same designs - none of the windows are rescue windows - all windows to be replaced in kind. windows not visible from street.,expired,09/24/2015,01/15/2013,01/15/2013,,01/15/2013,,4.0,4.0,,,01/10/2014,3000.0,4500.0,apartments,12.0,apartments,12.0,0.0,,,,5.0,wood frame (5),,2.0,Pacific Heights,94109.0,"(37.79401934118576, -122.42728019724701)",129342975619.0,68
201301158063,8,otc alterations permit,01/15/2013,1682,008,861,,39th,Av,,,to obtain final insepction for work approved under pa# 200507157712.  all work is complete.,complete,03/13/2013,01/15/2013,01/15/2013,03/13/2013,01/15/2013,,2.0,3.0,,,01/10/2014,1.0,1.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94121.0,"(37.77259606051198, -122.4995673991835)",1293430110016.0,41
201301158062,8,otc alterations permit,01/15/2013,3722,058,142,,Minna,St,,,expand extg bathrooms. relocate extg fixtures.  add shower,complete,04/24/2013,01/15/2013,01/30/2013,04/24/2013,01/30/2013,,2.0,2.0,,,01/25/2014,7000.0,34700.0,office,0.0,office,0.0,2.0,,2.0,constr type 2,2.0,constr type 2,,6.0,Financial District/South Beach,94105.0,"(37.786823293440875, -122.4004906043887)",1293431164743.0,80
201301158064,8,otc alterations permit,01/15/2013,2713,002C,22,,Short,St,,,remove illiegal kitchen & bathroom at garage level. capp all utilities at source & convert to storage.,issued,01/16/2013,01/15/2013,01/16/2013,,01/16/2013,,2.0,2.0,,,01/11/2014,5000.0,5000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.75778818794627, -122.44264042753443)",1293432142548.0,16
201301158065,8,otc alterations permit,01/15/2013,3199,007,1254,,Plymouth,Av,,,install blow-in insulation on main floor perimeter walls to comply with complaint #201281292,complete,01/23/2013,01/15/2013,01/15/2013,01/23/2013,01/15/2013,,2.0,2.0,,,01/10/2014,1700.0,1700.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94112.0,"(37.72512187707459, -122.45620871195618)",1293433154710.0,57
M366667,8,otc alterations permit,01/15/2013,1742,034,1220,,09th,Av,,,,issued,01/15/2013,01/15/2013,01/15/2013,,01/15/2013,,,,,,,,1.0,,,,,,,,,,,,5.0,Inner Sunset,94122.0,"(37.765501505876266, -122.46608376737706)",1293434268363.0,5
201301158066,8,otc alterations permit,01/15/2013,1682,008,861,,39th,Av,,,to obtain final insepction for work approved under pa# 200408030440.  all work is complete.,complete,03/13/2013,01/15/2013,01/15/2013,03/13/2013,01/15/2013,,2.0,3.0,,,01/10/2014,1.0,1.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94121.0,"(37.77259606051198, -122.4995673991835)",1293435110016.0,96
201301158067,8,otc alterations permit,01/15/2013,1682,008,861,,39th,Av,,,to obtain final insepction for work approved under pa# 200407269824.  all work is complete.,complete,03/13/2013,01/15/2013,01/15/2013,03/13/2013,01/15/2013,,2.0,3.0,,,01/10/2014,1.0,1.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94121.0,"(37.77259606051198, -122.4995673991835)",1293436110016.0,22
201301158056,3,additions alterations or repairs,01/15/2013,4287,057,1250,,Missouri,St,301.0,,tenant improvement. adding shower & kitchen for commercial photography studio & connecting (e) gas line.,complete,03/03/2014,01/15/2013,04/04/2013,03/03/2014,04/04/2013,,4.0,4.0,,,03/30/2014,10000.0,20000.0,office,0.0,office,0.0,2.0,,2.0,constr type 2,2.0,constr type 2,,10.0,Bayview Hunters Point,94107.0,"(37.75059880365387, -122.39569436895611)",1293437489472.0,3
201301168068,8,otc alterations permit,01/16/2013,2692,009,152,,Eureka,St,,,remodel ground level storage are and replace existing deck. add new doors to yard. add storage room under exterior stairs,complete,08/06/2013,01/16/2013,01/16/2013,08/06/2013,01/16/2013,Y,2.0,2.0,,,01/11/2014,35000.0,35000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.759797471919015, -122.43849621853032)",1293438141881.0,8
201301168069,8,otc alterations permit,01/16/2013,3979,001,444,,De Haro,St,,,"suite # 208:t.i. commercial for a new office and video production. suite is on 2nd floor with mezzanine. no scope of work to bldg envelope. mech, elect, and sprinklers under seperate applications.",complete,07/09/2013,01/16/2013,01/31/2013,07/09/2013,01/31/2013,,2.0,2.0,,,01/16/2016,700000.0,700000.0,office,0.0,office,0.0,2.0,,3.0,constr type 3,3.0,constr type 3,,10.0,Potrero Hill,94107.0,"(37.764169213087676, -122.40202096885237)",1293439168319.0,62
201301168070,6,demolitions,01/16/2013,2829,010,4376,,24th,St,,,demolition of 3 stories of a single family.,issued,02/04/2015,01/16/2013,02/04/2015,,02/04/2015,,3.0,,,,08/03/2015,20000.0,20000.0,1 family dwelling,1.0,,,0.0,,5.0,wood frame (5),,,,8.0,Noe Valley,94114.0,"(37.75117041145793, -122.44014612467534)",1293440145352.0,92
M366687,8,otc alterations permit,01/16/2013,0247,041,1200,,California,St,0.0,,street space permit,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,,,,,,,1.0,,,,,,,,,,,,3.0,Nob Hill,94109.0,"(37.791671734427815, -122.41452456449726)",1293442296492.0,41
201301168072,8,otc alterations permit,01/16/2013,4275,004,1334,,Hampshire,St,,,reroofing,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,2.0,2.0,,,01/11/2014,7500.0,7500.0,2 family dwelling,2.0,2 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.75078177826152, -122.40736666311108)",1293443173061.0,74
201301168072,8,otc alterations permit,01/16/2013,4275,004,1336,,Hampshire,St,,,reroofing,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,2.0,2.0,,,01/11/2014,7500.0,7500.0,2 family dwelling,2.0,2 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.75078177826152, -122.40736666311108)",1293444387474.0,92
M366688,8,otc alterations permit,01/16/2013,1089,031,3019,,Geary,Bl,,,street space,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,,,,,,,1.0,,,,,,,,,,,,1.0,Lone Mountain/USF,94118.0,"(37.78159504677418, -122.45145368114638)",129344589358.0,95
201301168073,8,otc alterations permit,01/16/2013,0033,003,2290,,Stockton,St,,,"remodel (5) kitchens  & (5) bathrooms in kind in the folowing units:   165 north point units:  325, 222;  2290 stocktock units:  306, 406, 403;  no structural change.  no doors and no windows.  lighting to comply  to cec  8, 10 150k no change to exhaust system.",complete,02/28/2013,01/16/2013,01/16/2013,02/28/2013,01/16/2013,,4.0,4.0,,,01/11/2014,75000.0,90000.0,apartments,84.0,apartments,84.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,3.0,North Beach,94133.0,"(37.80655414175002, -122.40993708658227)",1293446230617.0,11
201301168073,8,otc alterations permit,01/16/2013,0033,003,165,,North Point,St,,,"remodel (5) kitchens  & (5) bathrooms in kind in the folowing units:   165 north point units:  325, 222;  2290 stocktock units:  306, 406, 403;  no structural change.  no doors and no windows.  lighting to comply  to cec  8, 10 150k no change to exhaust system.",complete,02/28/2013,01/16/2013,01/16/2013,02/28/2013,01/16/2013,,4.0,4.0,,,01/11/2014,75000.0,90000.0,apartments,84.0,apartments,84.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,3.0,North Beach,94133.0,"(37.80655414175002, -122.40993708658227)",1293447347252.0,34
M366689,8,otc alterations permit,01/16/2013,1082,003,1333,,Lyon,St,0.0,,street space,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,,,,,,,1.0,,,,,,,,,,,,2.0,Presidio Heights,94115.0,"(37.783169303211956, -122.4450206616746)",1293448407008.0,91
M366690,8,otc alterations permit,01/16/2013,0092,005,2033,,Taylor,St,,,street space,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,,,,,,,1.0,,,,,,,,,,,,3.0,Russian Hill,94133.0,"(37.80119865331373, -122.41466898970413)",1293449348300.0,49
201301168074,8,otc alterations permit,01/16/2013,0268,017,250,,Montgomery,St,,,"2nd fl project consists of demo of (e) ceiling height partitions & associated power data, new ceiling tile & light fixtures. me & life safety under separate permit.",complete,06/27/2013,01/16/2013,01/24/2013,06/27/2013,01/24/2013,,15.0,15.0,,,01/19/2014,66577.0,66577.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94104.0,"(37.79158273098977, -122.40227553773153)",129345066174.0,71
M366691,8,otc alterations permit,01/16/2013,0858,002,201,,Buchanan,St,,,street space,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,,,,,,,1.0,,,,,,,,,,,,5.0,Hayes Valley,94102.0,"(37.77182552765158, -122.42720297611135)",129345183236.0,39
201301168075,6,demolitions,01/16/2013,5411,005,5222,,03rd,St,,,"demolish 1 story, type 5, single family dwelling unit building.",complete,04/02/2014,01/16/2013,01/16/2013,04/02/2014,01/16/2013,,1.0,,,,07/15/2013,15000.0,15000.0,1 family dwelling,1.0,,,0.0,,5.0,wood frame (5),,,,10.0,Bayview Hunters Point,94124.0,"(37.73033100408184, -122.39267350845414)",1293452182036.0,58
201301168076,8,otc alterations permit,01/16/2013,1255,021,130,,Frederick,St,0.0,,"apt #206 interior remodel: remove  non-load bearing walls to relocate kitchen. provide new master bedroom, remodel bath, provide one new bath, electrical & plumbing work as necessary. replace lighting with high efficacy lighting.",complete,03/18/2013,01/16/2013,01/16/2013,03/18/2013,01/16/2013,,4.0,4.0,,,01/11/2014,25000.0,40000.0,apartments,22.0,apartments,22.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Haight Ashbury,94117.0,"(37.76752225774215, -122.44580785375464)",1293453404127.0,5
201301168077,8,otc alterations permit,01/16/2013,6551,060,1266,,Dolores,St,,,as built drawing for building permit app#20090915994. clarification of extg as built joists which are different from original plans but meet structural requirement.  (200508261395),issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,4.0,4.0,,,01/11/2014,1.0,1.0,1 family dwelling,1.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94114.0,"(37.74908492804427, -122.42527251669694)",1293454488775.0,73
201301168078,8,otc alterations permit,01/16/2013,0322A,001,631,,Ofarrell,St,,HOA,15th floor - adding one smoke detector and monitor module to fire alarm system.,complete,02/05/2013,01/16/2013,01/16/2013,02/05/2013,01/16/2013,,20.0,20.0,,Y,01/11/2014,1000.0,1000.0,apartments,186.0,apartments,186.0,2.0,,3.0,constr type 3,3.0,constr type 3,,6.0,Tenderloin,94109.0,"(37.78524026874924, -122.41512046342635)",1293455471036.0,88
201301168079,8,otc alterations permit,01/16/2013,1211,018,1970,,Fell,St,,,new hvac in unit #8,complete,04/29/2013,01/16/2013,01/16/2013,04/29/2013,01/16/2013,,3.0,3.0,,,01/11/2014,3500.0,3500.0,apartments,12.0,apartments,12.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Lone Mountain/USF,94117.0,"(37.772738186721, -122.45028137350992)",1293456240361.0,12
201301168087,8,otc alterations permit,01/16/2013,2857,024,145,,Castenada,Av,,,replace existing bathroom and create a master bathroom. remodel closet per plan.,complete,05/10/2013,01/16/2013,01/16/2013,05/10/2013,01/16/2013,,2.0,2.0,,,01/11/2014,18000.0,32000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94116.0,"(37.74851816243563, -122.461423836802)",1293457146026.0,97
M366707,8,otc alterations permit,01/16/2013,1187,020,1852,,Grove,St,,,street space,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,,,,,,,1.0,,,,,,,,,,,,5.0,Lone Mountain/USF,94117.0,"(37.775028770560596, -122.44729230309808)",1293458456146.0,59
M366707,8,otc alterations permit,01/16/2013,1187,021,1854,,Grove,St,,,street space,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,,,,,,,1.0,,,,,,,,,,,,5.0,Lone Mountain/USF,94117.0,"(37.775028770560596, -122.44729230309808)",1293459456147.0,78
M366708,8,otc alterations permit,01/16/2013,0867,021,110,,Steiner,St,,,street space & sidewalk permit.,issued,01/16/2013,01/16/2013,01/16/2013,,01/16/2013,,,,,,,,1.0,,,,,,,,,,,,5.0,Hayes Valley,94117.0,"(37.770322986255195, -122.43151448220596)",129346083559.0,15
201301168082,6,demolitions,01/16/2013,5411,007,5234,,03rd,St,,,"demolish 1 story, type 5, single family dwelling unit building.",complete,04/02/2014,01/16/2013,01/16/2013,04/02/2014,01/16/2013,,1.0,,,,07/15/2013,15000.0,15000.0,1 family dwelling,1.0,,,0.0,,5.0,wood frame (5),,,,10.0,Bayview Hunters Point,94124.0,"(37.73019687102879, -122.39271118789644)",1293461182038.0,4
